1763068153.006135 client started (182318): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1763068153.006174 on Linux 6.17.4-76061704-generic #202510191616~1762410050~22.04~898873a SMP PREEMPT_DYNAMIC Thu N
1763068153.006187 using libevent 2.1.12-stable (poll); ncurses 6.3
1763068153.006210 flags are 0x10010000
1763068153.006215 socket is /tmp/tmux-1000/default
1763068153.006231 trying connect
1763068153.006339 add peer 0x62485a885760: 6 ((nil))
1763068153.006730 sending message 100 to peer 0x62485a885760 (4 bytes)
1763068153.006743 sending message 111 to peer 0x62485a885760 (8 bytes)
1763068153.006750 sending message 101 to peer 0x62485a885760 (16 bytes)
1763068153.006755 sending message 109 to peer 0x62485a885760 (4 bytes)
1763068153.006761 sending message 102 to peer 0x62485a885760 (11 bytes)
1763068153.006766 sending message 108 to peer 0x62485a885760 (22 bytes)
1763068153.006772 sending message 112 to peer 0x62485a885760 (70 bytes)
1763068153.006778 sending message 112 to peer 0x62485a885760 (5 bytes)
1763068153.006784 sending message 112 to peer 0x62485a885760 (5 bytes)
1763068153.006789 sending message 112 to peer 0x62485a885760 (6 bytes)
1763068153.006795 sending message 112 to peer 0x62485a885760 (6 bytes)
1763068153.006800 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.006805 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.006810 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006815 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006820 sending message 112 to peer 0x62485a885760 (18 bytes)
1763068153.006826 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.006831 sending message 112 to peer 0x62485a885760 (21 bytes)
1763068153.006836 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006841 sending message 112 to peer 0x62485a885760 (7 bytes)
1763068153.006847 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006852 sending message 112 to peer 0x62485a885760 (7 bytes)
1763068153.006857 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006863 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.006868 sending message 112 to peer 0x62485a885760 (21 bytes)
1763068153.006873 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006878 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.006883 sending message 112 to peer 0x62485a885760 (12 bytes)
1763068153.006888 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006894 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.006900 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.006905 sending message 112 to peer 0x62485a885760 (12 bytes)
1763068153.006910 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.006916 sending message 112 to peer 0x62485a885760 (7 bytes)
1763068153.006921 sending message 112 to peer 0x62485a885760 (7 bytes)
1763068153.006926 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.006932 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006937 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.006942 sending message 112 to peer 0x62485a885760 (15 bytes)
1763068153.006947 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.006953 sending message 112 to peer 0x62485a885760 (12 bytes)
1763068153.006958 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.006963 sending message 112 to peer 0x62485a885760 (14 bytes)
1763068153.006968 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.006973 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.006979 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.006984 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.006989 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.006994 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.007001 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007006 sending message 112 to peer 0x62485a885760 (8 bytes)
